"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item"
"lace-lift-up-teddy-black","Lace Lift Up Teddy Black","<div class=""TypographyPresentation TypographyPresentation--medium RichText3-paragraph--withVSpacingNormal RichText3-paragraph"">With a sensual, elevated blend of lace and mesh, our Teddy is made to be seen, in public or private. Wear it on its own at home or with your favorite jeans and heels for a night out—it’s a bodysuit that does both. And well. </div>
<div class=""TypographyPresentation TypographyPresentation--medium RichText3-paragraph--withVSpacingNormal RichText3-paragraph""></div>
<div class=""TypographyPresentation TypographyPresentation--medium RichText3-paragraph--withVSpacingNormal RichText3-paragraph"">For the perfect fit, select your usual Pepper Size.<em></em>
</div>
<div class=""TypographyPresentation TypographyPresentation--medium RichText3-paragraph--withVSpacingNormal RichText3-paragraph"">
<div>Unsure? Try a few sizes on at home or take our<span> </span><a title=""Pepper Size Quiz"" href=""https://www.wearpepper.com/pages/pepper-size-quiz"">Size Quiz</a>.</div>
<div><br></div>
<div>Materials:</div>
<div>Lace: <span style=""font-weight: 400;"" data-mce-fragment=""1""><strong>81% Polyamide, 19% Elastane.</strong></span><br><span style=""font-weight: 400;"" data-mce-fragment=""1"">Mesh:<span> </span><strong>82% Polyamide, 18% Elastane.</strong></span>
</div>
<div><span style=""font-weight: 400;"" data-mce-fragment=""1""><strong></strong></span></div>
<div><span style=""font-weight: 400;"" data-mce-fragment=""1"">Made sustainably in Colombia.</span></div>
</div>","Prointimo","Teddy","BFCM24,BFCM24SALE,bra_upsell,is_product_upsell,Lingerie,marketing_promo_core,no_upsell_discount,promo_eligible,Q4 2024,swatches_selection,visible","2025-01-16T07:31:22-07:00","Size","30A","Color","Black",,,"BW002BL30A",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/PepperLaceLiftUpTeddyBlackPDP1.jpg?v=1728508854",1,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","30B","Color","Black",,,"BW002BL30B",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/LUT_BLACK_1494.jpg?v=1727990324",2,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","32AA","Color","Black",,,"BW002BL32AA",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/LUT_BLACK_1448.jpg?v=1727990320",3,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","32A","Color","Black",,,"BW002BL32A",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/LUT_BLACK_1476.jpg?v=1727990326",4,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","32B","Color","Black",,,"BW002BL32B",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/LUT_BLACK_1469.jpg?v=1727990322",5,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","34AA","Color","Black",,,"BW002BL34AA",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/LUT_BLACK_1478.jpg?v=1727990328",6,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","34A","Color","Black",,,"BW002BL34A",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/LUT_BLACK_1514.jpg?v=1727990321",7,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","34B","Color","Black",,,"BW002BL34B",37,,,"deny","manual","98.00","0.00",,true,,"https://cdn.shopify.com/s/files/1/1951/2903/files/FLAT_LUT_BLACK_7909.jpg?v=1727990325",8,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","36AA","Color","Black",,,"BW002BL36AA",37,,,"deny","manual","98.00","0.00",,true,,,,,,,,,
"lace-lift-up-teddy-black",,,,,,,"Size","36A","Color","Black",,,"BW002BL36A",37,,,"deny","manual","98.00","0.00",,true,,,,,,,,,
