"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item"
"zero-g-wirefree-lift-up-bra-buff","Zero-G Wirefree Lift Up Bra Buff","<div class=""shogun-root"" data-shogun-id=""5d2d0669ee35f1004ca1039a"" data-shogun-site-id=""66fc7df4-efb4-45d7-ab6b-492d70fd1bf2"" data-shogun-page-id=""5d2d0669ee35f1004ca1039a"" data-shogun-page-version-id=""5d2d0669ee35f1004ca1039b"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""5d2d0669ee35f1004ca103a1"" data-region=""main"">
<div id=""s-2545b4e8-dfd9-4dc6-a408-8b2f6378734f"">
<div data-region=""main"" data-shogun-variant-id=""5d2d0669ee35f1004ca103a1"" data-shogun-platform-type=""shopify"" data-shogun-page-version-id=""5d2d0669ee35f1004ca1039b"" data-shogun-page-id=""5d2d0669ee35f1004ca1039a"" data-shogun-site-id=""66fc7df4-efb4-45d7-ab6b-492d70fd1bf2"" data-shogun-id=""5d2d0669ee35f1004ca1039a"" class=""shogun-root"" data-mce-fragment=""1"">
<div id=""s-2545b4e8-dfd9-4dc6-a408-8b2f6378734f"" data-mce-fragment=""1"">
<meta charset=""utf-8""> <span>Get ultra flattering shape and sculpted lift without the underwire. This is a bra that truly lives up to its name. The Zero-G Wireless Lift Up Bra’s gravity-defying design means it stays in place, lifts you up and hugs your natural curves with zero gaps. Giving all-day comfort, shape and lift, Zero-G makes feeling extra a little more everyday.<br><br>This style is designed to fit more snugly. If you prefer a less-snug band fit, we recommend sizing up using our sister size chart. </span>Unsure? Try a few sizes on at home or <a href=""https://www.wearpepper.com/pages/pepper-size-quiz"" title=""Pepper Size Quiz"" data-mce-fragment=""1"" data-mce-href=""https://www.wearpepper.com/pages/pepper-size-quiz"">take our size quiz</a>.</div>
</div>
<div data-region=""main"" data-shogun-variant-id=""5d2d0669ee35f1004ca103a1"" data-shogun-platform-type=""shopify"" data-shogun-page-version-id=""5d2d0669ee35f1004ca1039b"" data-shogun-page-id=""5d2d0669ee35f1004ca1039a"" data-shogun-site-id=""66fc7df4-efb4-45d7-ab6b-492d70fd1bf2"" data-shogun-id=""5d2d0669ee35f1004ca1039a"" class=""shogun-root"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<br data-mce-fragment=""1"">
<p data-pm-slice=""1 1 []"" data-mce-fragment=""1"">Materials: <br>Body: <strong>75% Polyamide, 25% Elastane.</strong><br><br>Made sustainably in Colombia. <span data-mce-fragment=""1"">OEKO-TEX</span><strong data-mce-fragment=""1"">®<span data-mce-fragment=""1""> </span></strong><span data-mce-fragment=""1"">certified.</span></p>
</div>
</div>
</div>
</div>","Prointimo","Bra","bestseller, BFCM24, BFCM24SALE, BFCM_2023, bra_upsell, card_description: Our innovative wireless lift up bra for ultimate lift and maximum comfort, Color_Buff: #DCC5B7, faq_liftup, FW23, label_NEW STYLE_#9b2728, marketing_promo_core, mastectomy, Mix&Match, new_arrivals, no_upsell_discount, product_upsell_smooth-lace-bikini-buff, promo_eligible, push up, push up bra, size_chart, visible","2023-09-15T09:26:15-06:00","Size","30A","Color","Buff","Style","Buff","ZGW01BU30A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404848","https://cdn.shopify.com/s/files/1/1951/2903/files/elenamudd_Buff_ZeroG_Sand_0906.jpg?v=1702943339",1,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","30A","Color","Buff","Style","Buff","BRA035BU30A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420060","https://cdn.shopify.com/s/files/1/1951/2903/files/elenamudd_Buff_ZeroG_Sand_0872.jpg?v=1702943335",2,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","30B","Color","Buff","Style","Buff","ZGW01BU30B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404855","https://cdn.shopify.com/s/files/1/1951/2903/files/elenamudd_Buff_ZeroG_Sand_0927.jpg?v=1702943338",3,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","30B","Color","Buff","Style","Buff","BRA035BU30B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420077","https://cdn.shopify.com/s/files/1/1951/2903/files/elenamudd_Buff_ZeroG_Sand_0949.jpg?v=1702943336",4,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","32AA","Color","Buff","Style","Buff","ZGW01BU32AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404879","https://cdn.shopify.com/s/files/1/1951/2903/files/elenamudd_Buff_ZeroG_Sand_0953.jpg?v=1702943335",5,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","32AA","Color","Buff","Style","Buff","BRA035BU32AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420091","https://cdn.shopify.com/s/files/1/1951/2903/files/ZERO-GWIREFREELIFT-UPBRA.jpg?v=1732051600",6,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","32A","Color","Buff","Style","Buff","ZGW01BU32A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404862",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","32A","Color","Buff","Style","Buff","BRA035BU32A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420084",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","32B","Color","Buff","Style","Buff","ZGW01BU32B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404886",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","32B","Color","Buff","Style","Buff","BRA035BU32B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420107",,,,,,"lb","PC040152",
